date,conc1,conc2,response,repeats,drug1,drug2,conc_unit1,conc_unit2,block_id
44859,0.3,0.2,64.16410085,2,FLV,TBF,uM,uM,95
44859,0.3,0.4,64.98425123,2,FLV,TBF,uM,uM,95
44859,0.3,0.83,71.89022627,2,FLV,TBF,uM,uM,95
44859,0.3,1.6,70.1725589,2,FLV,TBF,uM,uM,95
44859,0.3,3.15,65.47474909,2,FLV,TBF,uM,uM,95
44859,0.3,6.3,64.87173992,2,FLV,TBF,uM,uM,95
44859,0.3,12.5,56.98895113,2,FLV,TBF,uM,uM,95
44859,0.3,25,34.37441819,2,FLV,TBF,uM,uM,95
44859,0.17,0,57.9906959,2,FLV,TBF,uM,uM,95
44859,0.17,0.1,62.82248988,2,FLV,TBF,uM,uM,95
44859,0.17,0.2,58.05238009,2,FLV,TBF,uM,uM,95
44859,0.17,0.4,61.98971314,2,FLV,TBF,uM,uM,95
44859,0.17,0.83,63.6275208,2,FLV,TBF,uM,uM,95
44859,0.17,1.6,68.00910867,2,FLV,TBF,uM,uM,95
44859,0.17,3.15,57.52955232,2,FLV,TBF,uM,uM,95
44859,0.17,6.3,60.8046851,2,FLV,TBF,uM,uM,95
44859,0.17,12.5,49.06796158,2,FLV,TBF,uM,uM,95
44859,0.17,25,33.07221433,2,FLV,TBF,uM,uM,95
44859,0.1,0,64.40689689,2,FLV,TBF,uM,uM,95
44859,0.1,0.1,68.54488449,2,FLV,TBF,uM,uM,95
44859,0.1,0.2,69.39270028,2,FLV,TBF,uM,uM,95
44859,0.1,0.4,73.65212611,2,FLV,TBF,uM,uM,95
44859,0.1,0.83,70.19813331,2,FLV,TBF,uM,uM,95
44859,0.1,1.6,73.93288165,2,FLV,TBF,uM,uM,95
44859,0.1,3.15,69.11290981,2,FLV,TBF,uM,uM,95
44859,0.1,6.3,60.35769591,2,FLV,TBF,uM,uM,95
44859,0.1,12.5,45.57842195,2,FLV,TBF,uM,uM,95
44859,0.1,25,36.13181436,2,FLV,TBF,uM,uM,95
44859,0,0,100,2,FLV,TBF,uM,uM,95
44859,0,0.1,98.8540976,2,FLV,TBF,uM,uM,95
44859,0,0.2,100.5194902,2,FLV,TBF,uM,uM,95
44859,0,0.4,104.9392789,2,FLV,TBF,uM,uM,95
44859,0,0.83,101.0994181,2,FLV,TBF,uM,uM,95
44859,0,1.6,112.2250098,2,FLV,TBF,uM,uM,95
44859,0,3.15,92.09400928,2,FLV,TBF,uM,uM,95
44859,0,6.3,87.77064741,2,FLV,TBF,uM,uM,95
44859,0,12.5,57.6472911,2,FLV,TBF,uM,uM,95
44859,0,25,41.19233041,2,FLV,TBF,uM,uM,95
44867,25,0,18.18450475,1,FLV,TBF,uM,uM,66
44867,25,0.1,25.69533316,1,FLV,TBF,uM,uM,66
44867,25,0.2,17.50429649,1,FLV,TBF,uM,uM,66
44867,25,0.4,25.700026,1,FLV,TBF,uM,uM,66
44867,25,0.83,17.19241282,1,FLV,TBF,uM,uM,66
44867,25,1.6,21.042571679999998,1,FLV,TBF,uM,uM,66
44867,25,3.15,16.3966592,1,FLV,TBF,uM,uM,66
44867,25,6.3,14.91752649,1,FLV,TBF,uM,uM,66
44867,25,12.5,1.234343985,1,FLV,TBF,uM,uM,66
44867,25,25,0.584575774,1,FLV,TBF,uM,uM,66
44867,14.4,0,24.45819884,1,FLV,TBF,uM,uM,66
44867,14.4,0.1,28.48541731,1,FLV,TBF,uM,uM,66
44867,14.4,0.2,23.79384477,1,FLV,TBF,uM,uM,66
44867,14.4,0.4,28.97461427,1,FLV,TBF,uM,uM,66
44867,14.4,0.83,28.8075745,1,FLV,TBF,uM,uM,66
44867,14.4,1.6,19.9167972,1,FLV,TBF,uM,uM,66
44867,14.4,3.15,27.28176704,1,FLV,TBF,uM,uM,66
44867,14.4,6.3,16.68583967,1,FLV,TBF,uM,uM,66
44867,14.4,12.5,2.378762993,1,FLV,TBF,uM,uM,66
44867,14.4,25,0.660295395,1,FLV,TBF,uM,uM,66
44867,8.3,0,37.91599815,1,FLV,TBF,uM,uM,66
44867,8.3,0.1,37.12696671,1,FLV,TBF,uM,uM,66
44867,8.3,0.2,42.89738533,1,FLV,TBF,uM,uM,66
44867,8.3,0.4,37.54767356,1,FLV,TBF,uM,uM,66
44867,8.3,0.83,35.98254771,1,FLV,TBF,uM,uM,66
44867,8.3,1.6,32.49272293,1,FLV,TBF,uM,uM,66
44867,8.3,3.15,30.52502743,1,FLV,TBF,uM,uM,66
44867,8.3,6.3,21.47431304,1,FLV,TBF,uM,uM,66
44867,8.3,12.5,2.717789038,1,FLV,TBF,uM,uM,66
44867,8.3,25,0.754025379,1,FLV,TBF,uM,uM,66
44867,4.8,0,43.12657353,1,FLV,TBF,uM,uM,66
44867,4.8,0.1,53.03227279,1,FLV,TBF,uM,uM,66
44867,4.8,0.2,62.28795018,1,FLV,TBF,uM,uM,66
44867,4.8,0.4,55.64440949,1,FLV,TBF,uM,uM,66
44867,4.8,0.83,40.71178981,1,FLV,TBF,uM,uM,66
44867,4.8,1.6,48.9558429,1,FLV,TBF,uM,uM,66
44867,4.8,3.15,40.44264905,1,FLV,TBF,uM,uM,66
44867,4.8,6.3,26.05858441,1,FLV,TBF,uM,uM,66
44867,4.8,12.5,5.752788752,1,FLV,TBF,uM,uM,66
44867,4.8,25,0.888342095,1,FLV,TBF,uM,uM,66
44867,2.7,0,68.90028981,1,FLV,TBF,uM,uM,66
44867,2.7,0.1,72.01684349,1,FLV,TBF,uM,uM,66
44867,2.7,0.2,84.59327655,1,FLV,TBF,uM,uM,66
44867,2.7,0.4,73.02174561,1,FLV,TBF,uM,uM,66
